timestamp,lot_id,target_class,module_a_outlier_score,flag_module_a,predicted_late_value,drift_deviation_ratio,flag_module_b,defect_probability,predicted_defect_class,unified_risk_score,risk_level
2008-07-19 11:55:00,2008-07-19,0,0.54014327757125,0,1.4043703,0.0025424671706843613,0,3.0636394393429435e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 12:32:00,2008-07-19,0,1.8952029120198337,0,1.3921536,0.011219338106260381,0,4.00267042662628e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 13:17:00,2008-07-19,1,-1.5142817534076798,0,1.4100637,0.0015012809961281277,0,0.9999527500862497,1,100.0,CRITICAL (DEFECT)
2008-07-19 14:43:00,2008-07-19,0,-0.3418469640644391,0,1.4044071,0.002516304729655361,0,7.61824280487554e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 15:22:00,2008-07-19,0,0.5675161090458463,0,1.40187,0.004318295773086479,0,4.513344411614854e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 17:53:00,2008-07-19,0,-1.2292699814126389,0,1.3917029,0.011539468169466369,0,7.478718975841002e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 19:44:00,2008-07-19,0,0.5263523853779446,0,1.40354,0.0031321804450111825,0,5.267564008370747e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 19:45:00,2008-07-19,0,1.1241666666666714,0,1.413541,0.003970964628409399,0,5.128869046426512e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 20:24:00,2008-07-19,0,-0.7814838909541537,0,1.4194486,0.008166861360041026,0,1.3247860916526694e-05,0,0.0,LOW (PASS / SAFE)
2008-07-19 21:35:00,2008-07-19,0,0.230475061957873,0,1.4095274,0.0011203592414696397,0,6.4114005178966015e-06,0,0.0,LOW (PASS / SAFE)
2008-07-19 21:57:00,2008-07-19,1,-0.23047506195786352,0,1.4068884,0.0007540230222844407,0,0.9999168134742927,1,100.0,CRITICAL (DEFECT)
2008-07-19 22:52:00,2008-07-19,1,-1.5930570012391543,0,1.4111834,0.002296483734459428,0,0.9999395867603498,1,100.0,CRITICAL (DEFECT)
2008-07-20 03:35:00,2008-07-20,0,0.0,0,1.3935202,0.006297063146077652,0,4.998212512924468e-06,0,0.0,LOW (PASS / SAFE)
2008-07-21 08:21:00,2008-07-21,0,0.6745,0,1.4103942,0.00042934370277791973,0,2.0278601305661307e-06,0,0.0,LOW (PASS / SAFE)
2008-07-21 11:53:00,2008-07-21,1,-0.6745,0,1.4045118,0.004598259864168201,0,0.9999117073635332,1,100.0,CRITICAL (DEFECT)
2008-07-22 00:03:00,2008-07-22,0,-0.6579315892901081,0,1.4068235,0.0011197329263116422,0,8.345205192345722e-06,0,0.0,LOW (PASS / SAFE)
